k,h,s,yD,pplant_mw
2,109,3,0,0.0000000000
2,110,1,0,0.0000000000
2,110,2,0,0.0000000000
2,110,3,0,0.0000000000
2,111,1,0,0.0000000000
2,111,2,0,0.0000000000
2,111,3,0,0.0000000000
2,112,1,0,0.0000000000
2,112,2,0,0.0000000000
2,112,3,0,0.0000000000
2,113,1,0,0.0000000000
2,113,2,0,0.0000000000
2,113,3,0,0.0000000000
2,114,1,0,0.0000000000
2,114,2,0,0.0000000000
2,114,3,0,0.0000000000
2,115,1,0,0.0000000000
2,115,2,0,0.0000000000
2,115,3,0,0.0000000000
2,116,1,0,0.0000000000
2,116,2,0,0.0000000000
2,116,3,0,0.0000000000
2,117,1,0,0.0000000000
2,117,2,0,0.0000000000
2,117,3,0,0.0000000000
2,118,1,0,0.0000000000
2,118,2,0,0.0000000000
2,118,3,0,0.0000000000
2,119,1,0,0.0000000000
2,119,2,0,0.0000000000
2,119,3,0,0.0000000000
2,120,1,0,0.0000000000
2,120,2,0,0.0000000000
2,120,3,0,0.0000000000
2,121,1,0,0.0000000000
2,121,2,0,0.0000000000
2,121,3,0,0.0000000000
2,122,1,0,0.0000000000
2,122,2,0,0.0000000000
2,122,3,0,0.0000000000
2,123,1,0,0.0000000000
2,123,2,0,0.0000000000
2,123,3,0,0.0000000000
2,124,1,0,0.0000000000
2,124,2,0,0.0000000000
2,124,3,0,0.0000000000
2,125,1,0,0.0000000000
2,125,2,0,0.0000000000
2,125,3,0,0.0000000000
2,126,1,0,0.0000000000
2,126,2,0,0.0000000000
2,126,3,0,0.0000000000
2,127,1,0,0.0000000000
2,127,2,0,0.0000000000
2,127,3,0,0.0000000000
2,128,1,0,0.0000000000
2,128,2,0,0.0000000000
2,128,3,0,0.0000000000
2,129,1,0,0.0000000000
2,129,2,0,0.0000000000
2,129,3,0,0.0000000000
2,130,1,0,0.0000000000
2,130,2,0,0.0000000000
2,130,3,0,0.0000000000
2,131,1,0,0.0000000000
2,131,2,0,0.0000000000
2,131,3,0,0.0000000000
2,132,1,0,0.0000000000
2,132,2,0,0.0000000000
2,132,3,0,0.0000000000
2,133,1,0,0.0000000000
2,133,2,0,0.0000000000
2,133,3,0,0.0000000000
2,134,1,0,0.0000000000
2,134,2,0,0.0000000000
2,134,3,0,0.0000000000
2,135,1,0,0.0000000000
2,135,2,0,0.0000000000
2,135,3,0,0.0000000000
2,136,1,0,0.0000000000
2,136,2,0,0.0000000000
2,136,3,0,0.0000000000
2,137,1,0,0.0000000000
2,137,2,0,0.0000000000
2,137,3,0,0.0000000000
2,138,1,0,0.0000000000
2,138,2,0,0.0000000000
2,138,3,0,0.0000000000
2,139,1,0,0.0000000000
2,139,2,0,0.0000000000
2,139,3,0,0.0000000000
2,140,1,0,0.0000000000
2,140,2,0,0.0000000000
2,140,3,0,0.0000000000
2,141,1,0,0.0000000000
2,141,2,0,0.0000000000
2,141,3,0,0.0000000000
2,142,1,0,0.0000000000
2,142,2,0,0.0000000000
2,142,3,0,0.0000000000
2,143,1,0,0.0000000000
2,143,2,0,0.0000000000
2,143,3,0,0.0000000000
2,144,1,0,0.0000000000
2,144,2,0,0.0000000000
2,144,3,0,0.0000000000
2,145,1,0,0.0000000000
2,145,2,0,0.0000000000
2,145,3,0,0.0000000000
2,146,1,0,0.0000000000
2,146,2,0,0.0000000000
2,146,3,0,0.0000000000
2,147,1,0,0.0000000000
2,147,2,0,0.0000000000
2,147,3,0,0.0000000000
2,148,1,0,0.0000000000
2,148,2,0,0.0000000000
2,148,3,0,0.0000000000
2,149,1,0,0.0000000000
2,149,2,0,0.0000000000
2,149,3,0,0.0000000000
2,150,1,0,0.0000000000
2,150,2,0,0.0000000000
2,150,3,0,0.0000000000
2,151,1,0,0.0000000000
2,151,2,0,0.0000000000
2,151,3,0,0.0000000000
2,152,1,0,0.0000000000
2,152,2,0,0.0000000000
2,152,3,0,0.0000000000
2,153,1,0,0.0000000000
2,153,2,0,0.0000000000
2,153,3,0,0.0000000000
2,154,1,0,0.0000000000
2,154,2,0,0.0000000000
2,154,3,0,0.0000000000
2,155,1,0,0.0000000000
2,155,2,0,0.0000000000
2,155,3,0,0.0000000000
2,156,1,0,0.0000000000
2,156,2,0,0.0000000000
2,156,3,0,0.0000000000
2,157,1,0,0.0000000000
2,157,2,0,0.0000000000
2,157,3,0,0.0000000000
2,158,1,0,0.0000000000
2,158,2,0,0.0000000000
2,158,3,0,0.0000000000
2,159,1,0,0.0000000000
2,159,2,0,0.0000000000
2,159,3,0,0.0000000000
2,160,1,0,0.0000000000
2,160,2,0,0.0000000000
2,160,3,0,0.0000000000
2,161,1,0,0.0000000000
2,161,2,0,0.0000000000
2,161,3,0,0.0000000000
2,162,1,0,0.0000000000
2,162,2,0,0.0000000000
2,162,3,0,0.0000000000
2,163,1,0,0.0000000000
2,163,2,0,0.0000000000
2,163,3,0,0.0000000000
2,164,1,0,0.0000000000
2,164,2,0,0.0000000000
2,164,3,0,0.0000000000
2,165,1,0,0.0000000000
2,165,2,0,0.0000000000
2,165,3,0,0.0000000000
2,166,1,0,0.0000000000
2,166,2,0,0.0000000000
2,166,3,0,0.0000000000
2,167,1,0,0.0000000000
2,167,2,0,0.0000000000
2,167,3,0,0.0000000000
2,168,1,0,0.0000000000
2,168,2,0,0.0000000000
2,168,3,0,0.0000000000
3,1,1,0,0.0000000000
3,1,2,0,0.0000000000
3,1,3,0,0.0000000000
3,2,1,0,0.0000000000
3,2,2,0,0.0000000000
3,2,3,0,0.0000000000
3,3,1,0,0.0000000000
3,3,2,0,0.0000000000
3,3,3,0,0.0000000000
3,4,1,0,0.0000000000
3,4,2,0,0.0000000000
3,4,3,0,0.0000000000
3,5,1,0,0.0000000000
3,5,2,0,0.0000000000
3,5,3,0,0.0000000000
3,6,1,0,0.0000000000
3,6,2,0,0.0000000000
3,6,3,0,0.0000000000
3,7,1,0,0.0000000000
3,7,2,0,0.0000000000
3,7,3,0,0.0000000000
3,8,1,0,0.0000000000
3,8,2,0,0.0000000000
3,8,3,0,0.0000000000
3,9,1,0,0.0000000000
3,9,2,0,0.0000000000
3,9,3,0,0.0000000000
3,10,1,0,0.0000000000
3,10,2,0,0.0000000000
3,10,3,0,0.0000000000
3,11,1,0,0.0000000000
3,11,2,0,0.0000000000
3,11,3,0,0.0000000000
3,12,1,0,0.0000000000
3,12,2,0,0.0000000000
3,12,3,0,0.0000000000
3,13,1,0,0.0000000000
3,13,2,0,0.0000000000
3,13,3,0,0.0000000000
3,14,1,0,0.0000000000
3,14,2,0,0.0000000000
3,14,3,0,0.0000000000
3,15,1,0,0.0000000000
3,15,2,0,0.0000000000
3,15,3,0,0.0000000000
3,16,1,0,0.0000000000
3,16,2,0,0.0000000000
3,16,3,0,0.0000000000
3,17,1,0,0.0000000000
3,17,2,0,0.0000000000
3,17,3,0,0.0000000000
3,18,1,0,0.0000000000
3,18,2,0,0.0000000000
3,18,3,0,0.0000000000
3,19,1,0,0.0000000000
3,19,2,0,0.0000000000
3,19,3,0,0.0000000000
3,20,1,0,0.0000000000
3,20,2,0,0.0000000000
3,20,3,0,0.0000000000
3,21,1,0,0.0000000000
3,21,2,0,0.0000000000
3,21,3,0,0.0000000000
3,22,1,0,0.0000000000
3,22,2,0,0.0000000000
3,22,3,0,0.0000000000
3,23,1,0,0.0000000000
3,23,2,0,0.0000000000
3,23,3,0,0.0000000000
3,24,1,0,0.0000000000
3,24,2,0,0.0000000000
3,24,3,0,0.0000000000
3,25,1,0,0.0000000000
3,25,2,0,0.0000000000
3,25,3,0,0.0000000000
3,26,1,0,0.0000000000
3,26,2,0,0.0000000000
3,26,3,0,0.0000000000
3,27,1,0,0.0000000000
3,27,2,0,0.0000000000
3,27,3,0,0.0000000000
3,28,1,0,0.0000000000
3,28,2,0,0.0000000000
3,28,3,0,0.0000000000
3,29,1,0,0.0000000000
3,29,2,0,0.0000000000
3,29,3,0,0.0000000000
3,30,1,0,0.0000000000
3,30,2,0,0.0000000000
3,30,3,0,0.0000000000
3,31,1,0,0.0000000000
3,31,2,0,0.0000000000
3,31,3,0,0.0000000000
3,32,1,0,0.0000000000
3,32,2,0,0.0000000000
3,32,3,0,0.0000000000
3,33,1,0,0.0000000000
3,33,2,0,0.0000000000
3,33,3,0,0.0000000000
3,34,1,0,0.0000000000
3,34,2,0,0.0000000000
3,34,3,0,0.0000000000
3,35,1,0,0.0000000000
3,35,2,0,0.0000000000
3,35,3,0,0.0000000000
3,36,1,0,0.0000000000
3,36,2,0,0.0000000000
3,36,3,0,0.0000000000
3,37,1,0,0.0000000000
3,37,2,0,0.0000000000
3,37,3,0,0.0000000000
3,38,1,0,0.0000000000
3,38,2,0,0.0000000000
3,38,3,0,0.0000000000
3,39,1,0,0.0000000000
3,39,2,0,0.0000000000
3,39,3,0,0.0000000000
3,40,1,0,0.0000000000
3,40,2,0,0.0000000000
3,40,3,0,0.0000000000
3,41,1,0,0.0000000000
3,41,2,0,0.0000000000
3,41,3,0,0.0000000000
3,42,1,0,0.0000000000
3,42,2,0,0.0000000000
3,42,3,0,0.0000000000
3,43,1,0,0.0000000000
3,43,2,0,0.0000000000
3,43,3,0,0.0000000000
3,44,1,0,0.0000000000
3,44,2,0,0.0000000000
3,44,3,0,0.0000000000
3,45,1,0,0.0000000000
3,45,2,0,0.0000000000
3,45,3,0,0.0000000000
3,46,1,0,0.0000000000
3,46,2,0,0.0000000000
3,46,3,0,0.0000000000
3,47,1,0,0.0000000000
3,47,2,0,0.0000000000
3,47,3,0,0.0000000000
3,48,1,0,0.0000000000
3,48,2,0,0.0000000000
3,48,3,0,0.0000000000
3,49,1,0,0.0000000000
3,49,2,0,0.0000000000
3,49,3,0,0.0000000000
3,50,1,0,0.0000000000
3,50,2,0,0.0000000000
3,50,3,0,0.0000000000
3,51,1,0,0.0000000000
3,51,2,0,0.0000000000
3,51,3,0,0.0000000000
3,52,1,0,0.0000000000
3,52,2,0,0.0000000000
3,52,3,0,0.0000000000
3,53,1,0,0.0000000000
3,53,2,0,0.0000000000
3,53,3,0,0.0000000000
3,54,1,0,0.0000000000
3,54,2,0,0.0000000000
3,54,3,0,0.0000000000
3,55,1,0,0.0000000000
3,55,2,0,0.0000000000
3,55,3,0,0.0000000000
3,56,1,0,0.0000000000
3,56,2,0,0.0000000000
3,56,3,0,0.0000000000
3,57,1,0,0.0000000000
3,57,2,0,0.0000000000
3,57,3,0,0.0000000000
3,58,1,0,0.0000000000
3,58,2,0,0.0000000000
3,58,3,0,0.0000000000
3,59,1,0,0.0000000000
3,59,2,0,0.0000000000
3,59,3,0,0.0000000000
3,60,1,0,0.0000000000
3,60,2,0,0.0000000000
3,60,3,0,0.0000000000
3,61,1,0,0.0000000000
3,61,2,0,0.0000000000
3,61,3,0,0.0000000000
3,62,1,0,0.0000000000
3,62,2,0,0.0000000000
3,62,3,0,0.0000000000
3,63,1,0,0.0000000000
3,63,2,0,0.0000000000
3,63,3,0,0.0000000000
3,64,1,0,0.0000000000
3,64,2,0,0.0000000000
3,64,3,0,0.0000000000
3,65,1,0,0.0000000000
3,65,2,0,0.0000000000
3,65,3,0,0.0000000000
3,66,1,0,0.0000000000
3,66,2,0,0.0000000000
3,66,3,0,0.0000000000
3,67,1,0,0.0000000000
3,67,2,0,0.0000000000
3,67,3,0,0.0000000000
3,68,1,0,0.0000000000
3,68,2,0,0.0000000000
3,68,3,0,0.0000000000
3,69,1,0,0.0000000000
3,69,2,0,0.0000000000
3,69,3,0,0.0000000000
3,70,1,0,0.0000000000
3,70,2,0,0.0000000000
3,70,3,0,0.0000000000
3,71,1,0,0.0000000000
3,71,2,0,0.0000000000
3,71,3,0,0.0000000000
3,72,1,0,0.0000000000
3,72,2,0,0.0000000000
3,72,3,0,0.0000000000
3,73,1,0,0.0000000000
3,73,2,0,0.0000000000
3,73,3,0,0.0000000000
3,74,1,0,0.0000000000
3,74,2,0,0.0000000000
3,74,3,0,0.0000000000
3,75,1,0,0.0000000000
3,75,2,0,0.0000000000
3,75,3,0,0.0000000000
3,76,1,0,0.0000000000
3,76,2,0,0.0000000000
3,76,3,0,0.0000000000
3,77,1,0,0.0000000000
3,77,2,0,0.0000000000
3,77,3,0,0.0000000000
3,78,1,0,0.0000000000
3,78,2,0,0.0000000000
3,78,3,0,0.0000000000
3,79,1,0,0.0000000000
3,79,2,0,0.0000000000
3,79,3,0,0.0000000000
3,80,1,0,0.0000000000
3,80,2,0,0.0000000000
3,80,3,0,0.0000000000
3,81,1,0,0.0000000000
3,81,2,0,0.0000000000
3,81,3,0,0.0000000000
3,82,1,0,0.0000000000
3,82,2,0,0.0000000000
3,82,3,0,0.0000000000
3,83,1,0,0.0000000000
3,83,2,0,0.0000000000
3,83,3,0,0.0000000000
3,84,1,0,0.0000000000
3,84,2,0,0.0000000000
3,84,3,0,0.0000000000
3,85,1,0,0.0000000000
3,85,2,0,0.0000000000
3,85,3,0,0.0000000000
3,86,1,0,0.0000000000
3,86,2,0,0.0000000000
3,86,3,0,0.0000000000
3,87,1,0,0.0000000000
3,87,2,0,0.0000000000
3,87,3,0,0.0000000000
3,88,1,0,0.0000000000
3,88,2,0,0.0000000000
3,88,3,0,0.0000000000
3,89,1,0,0.0000000000
3,89,2,0,0.0000000000
3,89,3,0,0.0000000000
3,90,1,0,0.0000000000
3,90,2,0,0.0000000000
3,90,3,0,0.0000000000
3,91,1,0,0.0000000000
3,91,2,0,0.0000000000
3,91,3,0,0.0000000000
3,92,1,0,0.0000000000
3,92,2,0,0.0000000000
3,92,3,0,0.0000000000
3,93,1,0,0.0000000000
3,93,2,0,0.0000000000
3,93,3,0,0.0000000000
3,94,1,0,0.0000000000
3,94,2,0,0.0000000000
3,94,3,0,0.0000000000
3,95,1,0,0.0000000000
3,95,2,0,0.0000000000
3,95,3,0,0.0000000000
3,96,1,0,0.0000000000
3,96,2,0,0.0000000000
3,96,3,0,0.0000000000
3,97,1,0,0.0000000000
3,97,2,0,0.0000000000
3,97,3,0,0.0000000000
3,98,1,0,0.0000000000
3,98,2,0,0.0000000000
3,98,3,0,0.0000000000
3,99,1,0,0.0000000000
3,99,2,0,0.0000000000
3,99,3,0,0.0000000000
3,100,1,0,0.0000000000
3,100,2,0,0.0000000000
3,100,3,0,0.0000000000
3,101,1,0,0.0000000000
3,101,2,0,0.0000000000
3,101,3,0,0.0000000000
3,102,1,0,0.0000000000
3,102,2,0,0.0000000000
3,102,3,0,0.0000000000
3,103,1,0,0.0000000000
3,103,2,0,0.0000000000
3,103,3,0,0.0000000000
3,104,1,0,0.0000000000
3,104,2,0,0.0000000000
3,104,3,0,0.0000000000
3,105,1,0,0.0000000000
3,105,2,0,0.0000000000
3,105,3,0,0.0000000000
3,106,1,0,0.0000000000
3,106,2,0,0.0000000000
3,106,3,0,0.0000000000
3,107,1,0,0.0000000000
3,107,2,0,0.0000000000
3,107,3,0,0.0000000000
3,108,1,0,0.0000000000
3,108,2,0,0.0000000000
3,108,3,0,0.0000000000
3,109,1,0,0.0000000000
3,109,2,0,0.0000000000
3,109,3,0,0.0000000000
3,110,1,0,0.0000000000
3,110,2,0,0.0000000000
3,110,3,0,0.0000000000
3,111,1,0,0.0000000000
3,111,2,0,0.0000000000
3,111,3,0,0.0000000000
3,112,1,0,0.0000000000
3,112,2,0,0.0000000000
3,112,3,0,0.0000000000
3,113,1,0,0.0000000000
3,113,2,0,0.0000000000
3,113,3,0,0.0000000000
3,114,1,0,0.0000000000
3,114,2,0,0.0000000000
3,114,3,0,0.0000000000
3,115,1,0,0.0000000000
3,115,2,0,0.0000000000
3,115,3,0,0.0000000000
3,116,1,0,0.0000000000
3,116,2,0,0.0000000000
3,116,3,0,0.0000000000
3,117,1,0,0.0000000000
3,117,2,0,0.0000000000
3,117,3,0,0.0000000000
3,118,1,0,0.0000000000
3,118,2,0,0.0000000000
3,118,3,0,0.0000000000
3,119,1,0,0.0000000000
3,119,2,0,0.0000000000
3,119,3,0,0.0000000000
3,120,1,0,0.0000000000
3,120,2,0,0.0000000000
3,120,3,0,0.0000000000
3,121,1,0,0.0000000000
3,121,2,0,0.0000000000
3,121,3,0,0.0000000000
3,122,1,0,0.0000000000
3,122,2,0,0.0000000000
3,122,3,0,0.0000000000
3,123,1,0,0.0000000000
3,123,2,0,0.0000000000
3,123,3,0,0.0000000000
3,124,1,0,0.0000000000
3,124,2,0,0.0000000000
3,124,3,0,0.0000000000
3,125,1,0,0.0000000000
3,125,2,0,0.0000000000
3,125,3,0,0.0000000000
3,126,1,0,0.0000000000
3,126,2,0,0.0000000000
3,126,3,0,0.0000000000
3,127,1,0,0.0000000000
3,127,2,0,0.0000000000
3,127,3,0,0.0000000000
3,128,1,0,0.0000000000
3,128,2,0,0.0000000000
3,128,3,0,0.0000000000
3,129,1,0,0.0000000000
3,129,2,0,0.0000000000
3,129,3,0,0.0000000000
3,130,1,0,0.0000000000
3,130,2,0,0.0000000000
3,130,3,0,0.0000000000
3,131,1,0,0.0000000000
3,131,2,0,0.0000000000
3,131,3,0,0.0000000000
3,132,1,0,0.0000000000
3,132,2,0,0.0000000000
3,132,3,0,0.0000000000
3,133,1,0,0.0000000000
3,133,2,0,0.0000000000
3,133,3,0,0.0000000000
3,134,1,0,0.0000000000
3,134,2,0,0.0000000000
3,134,3,0,0.0000000000
3,135,1,0,0.0000000000
3,135,2,0,0.0000000000
3,135,3,0,0.0000000000
3,136,1,0,0.0000000000
3,136,2,0,0.0000000000
3,136,3,0,0.0000000000
3,137,1,0,0.0000000000
3,137,2,0,0.0000000000
3,137,3,0,0.0000000000
3,138,1,0,0.0000000000
3,138,2,0,0.0000000000
3,138,3,0,0.0000000000
3,139,1,0,0.0000000000
3,139,2,0,0.0000000000
3,139,3,0,0.0000000000
3,140,1,0,0.0000000000
3,140,2,0,0.0000000000
3,140,3,0,0.0000000000
3,141,1,0,0.0000000000
3,141,2,0,0.0000000000
3,141,3,0,0.0000000000
3,142,1,0,0.0000000000
3,142,2,0,0.0000000000
3,142,3,0,0.0000000000
3,143,1,0,0.0000000000
